Pack	Offense	Defense	Support	Frontload	Scaling
AggressionPack	5	2	2	4	3
AlignmentPack	2	3	5	2	2
AllForOnePack	4	2	3	4	3
AnomalyPack	2	3	4	1	4
ArcanaPack	3	3	3	3	2
ArtificerPack	3	2	4	4	3
BardInspirePack	3	3	4	2	3
BasicsPack	3	3	2	4	2
BatterPack	4	2	2	4	2
BellordPack	2	3	2	4	1
BitingColdPack	4	2	2	3	3
BlacksmithsPack	3	3	4	4	4
BoardGamePack	4	3	2	4	2
BulwarkPack	2	5	1	4	4
CalamityPack	4	2	2	3	4
ClawPack	5	2	1	2	5
ColorlessPack	4	3	3	2	4
ConjurerPack	3	4	2	2	3
ContentCreatorPack	2	2	4	2	4
CoreSetPack	3	3	3	3	3
CosmosCommandPack	3	2	4	1	4
CreativityPack	3	3	4	3	1
CthulhuPack	2	4	3	1	3
DefectPack	3	4	3	4	3
DimensionGatePack	4	3	3	2	4
DimensionGate2Pack	3	3	2	2	2
DimensionGate3Pack	3	4	3	4	2
DistortionPack	4	2	3	4	4
DownfallPack	2	3	3	3	3
DragonwrathPack	4	2	1	2	5
EnergyAndEchoPack	3	2	4	4	2
EntropyPack	4	2	2	3	3
EvenOddPack	3	3	4	4	3
FarmerPack	3	2	3	2	1
FrostPack	2	5	3	1	4
FueledPack  5   2   2   5   2
GemsPack	1	1	5	1	4
GoddessOfExplosionsPack	4	2	3	1	5
GoWithTheFlowPack	3	3	4	3	2
GrandOpeningPack	2	2	3	3	2
GraveyardPack	3	1	4	3	4
HermitPack	4	3	3	3	2
HighEnergyPack	2	3	3	2	3
InfestPack	3	3	3	2	2
InstantDeathPack    4	3	3	2	3
IntoTheBreachPack	4	3	3	3	1
IntriguePack	3	3	4	2	1
IroncladPack	4	2	3	4	2
JockeyPack	3	2	4	2	4
LegacyPack	3	2	2	3	2
LockonPack	3	2	3	2	4
MadSciencePack	3	3	5	2	3
MarisaPack	4	1	3	4	3
MetaPack	3	2	2	3	3
MonsterHunterPack	4	2	2	3	3
OdditiesPack	2	1	5	2	3
OrbPack	1	3	4	3	4
PinnaclePack	2	2	4	1	3
PixiePack	4	3	1	4	3
PoisonPack	5	1	2	2	5
PrismaticPack	3	3	4	2	3
PsychicPack	2	2	3	4	4
QuantaPack	3	4	3	4	2
QuietPack	4	4	4	4	2
ReplicatorsPack	2	2	5	2	5
RimworldPack	3	3	4	2	3
RingOfPainPack	4	2	3	2	3
RipPack	3	3	2	5	2
SecretLevelPack	3	3	3	2	4
SentinelPack	4	4	2	4	2
SerpentinePack	4	1	3	2	4
ShamanPack	4	3	2	1	4
SilentPack	3	3	4	3	3
SpheresPack	4	3	1	4	3
SneckoPack	3	1	4	3	2
StatusPack	4	2	5	5	3
StrikesPack	4	1	2	4	1
SummonsPack	3	3	4	2	4
ThieveryPack	2	2	4	3	3
TransmutationPack	3	3	4	3	2
UtilityPack	2	2	5	2	3
WardenPack	3	2	4	2	3
WarlockPack	3	2	2	3	4
WarriorPack	4	2	1	3	2
WatcherPack	4	3	3	4	2
WeaponsPack	4	1	2	3	1
WitchesStrikePack	3	2	4	3	3
WomanInBluePack	2	2	4	4	2
