Pack	Tags
AggressionPack	Strength,Stances
AlignmentPack	Exhaust,Discard
AllForOnePack	None
AnomalyPack	Exhaust,Discard
ArcanaPack	None
BardInspirePack	None
BasicsPack	None
BatterPack	None
BellordPack	None
BitingColdPack	Debuffs
BlacksmithsPack	None
BoardGamePack	None
ClawPack	None
ConjurerPack	Debuff
ContentCreatorPack	Orbs
CoreSetPack	None
CosmosCommandPack	Exhaust,Debuffs
CreativityPack	None
CthulhuPack	None
DefectPack	Orbs
DimensionGatePack	Debuffs
DimensionGate2Pack	None
DimensionGate3Pack	None
DistortionPack	Exhaust
DownfallPack	Stances,Orbs
DragonwrathPack	Debuffs
EnergyAndEchoPack	Exhaust
EntropyPack	Debuffs,Orbs
EvenOddPack	None
FarmerPack	None
GemsPack	Orbs
GoWithTheFlowPack	Discard
GrandOpeningPack	None
GraveyardPack	Exhaust
HermitPack	None
HighEnergyPack	None
InfestPack	None
IntoTheBreachPack	None
IroncladPack	Strength
LegacyPack	None
MadSciencePack	None
MarisaPack	Exhaust
MetaPack	None
MonsterHunterPack	None
OdditiesPack	None
OrbPack	Orbs
PinnaclePack	None
PixiePack	None
PoisonPack	Debuff
PrismaticPack	None
PsychicPack	Exhaust
QuantaPack	None
QuietPack	Discard
ReplicatorsPack	None
RimworldPack	None
RingOfPainPack	None
RipPack	Exhaust
SentinelPack	Stances
SerpentinePack	Stances,Debuffs
ShamanPack	Debuffs
SilentPack	Discard
SneckoPack	None
StatusPack	Exhaust
StrikesPack	Orbs
SummonsPack	Orbs
ThieveryPack	Strength
TransmutationPack	None
UtilityPack	Orbs
WardenPack	None
WarlockPack	Exhaust
WarriorPack	Debuffs
WatcherPack	None
WeaponsPack	None
WitchesStrikePack	Orbs
WomanInBluePack	Exhaust
